"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:06.000]  Wszystkie słowa są jasne.
[01:23:45.800 --> 01:23:47.800]  w zeszłym
[01:23:47.800 --> 01:23:49.800]  roku
[01:23:49.800 --> 01:23:51.800]  w zeszłym
[01:23:51.800 --> 01:23:53.800]  roku
[01:23:53.800 --> 01:23:55.800]  co miesiąc
[01:23:55.800 --> 01:23:57.800]  co miesiąc
[01:23:57.800 --> 01:23:59.800]  do kina.
[01:23:59.800 --> 01:24:01.800]  Chodziłem.
[01:24:01.800 --> 01:24:03.800]  Chodziłem.
[01:24:03.800 --> 01:24:05.800]  To jest nasza rytua,
[01:24:05.800 --> 01:24:07.800]  że chcesz
[01:24:07.800 --> 01:24:09.800]  odkupić to każdego miesiąca.
[01:24:09.800 --> 01:24:11.800]  Chodziłem do kina.
[01:24:11.800 --> 01:24:13.800]  Bo jest tak,
[01:24:13.800 --> 01:24:15.800]  każdego miesiąca,
[01:24:15.800 --> 01:24:17.800]  tak, repetytywna sytuacja.
[01:24:17.800 --> 01:24:19.800]  Mhm.
[01:24:19.800 --> 01:24:21.800]  Mhm.
[01:24:21.800 --> 01:24:23.800]  Mhm.
[01:24:23.800 --> 01:24:25.800]  Dobra.
[01:24:25.800 --> 01:24:27.800]  No, my tu mamy tak samo,
[01:24:27.800 --> 01:24:29.800]  jak to, co zrobiłem ostatnio
[01:24:29.800 --> 01:24:31.800]  o złotym i o latach.
[01:24:31.800 --> 01:24:33.800]  Tak.
[01:24:33.800 --> 01:24:35.800]  Czyli na przykład.
[01:24:35.800 --> 01:24:37.800]  Nie wiem.
[01:24:37.800 --> 01:24:39.800]  Ktoś może
[01:24:39.800 --> 01:24:41.800]  powiedzieć, że co?
[01:24:41.800 --> 01:24:43.800]  O, dobra.
[01:24:43.800 --> 01:24:45.800]  Zdążymy jeszcze szybciutko.
[01:24:45.800 --> 01:24:47.800]  Jak długo?
[01:24:49.800 --> 01:24:51.800]  Jak długo Pan
[01:24:51.800 --> 01:24:53.800]  spał wczoraj?
[01:24:55.800 --> 01:24:57.800]  Mhm.
[01:24:57.800 --> 01:24:59.800]  Jeszcze raz. Spała?
[01:24:59.800 --> 01:25:01.800]  Spał.
[01:25:01.800 --> 01:25:03.800]  Spać.
[01:25:03.800 --> 01:25:05.800]  Spać. Jak?
[01:25:05.800 --> 01:25:07.800]  Jak długo?
[01:25:07.800 --> 01:25:09.800]  Tak, jak długo?
[01:25:09.800 --> 01:25:11.800]  Inne godziny.
[01:25:11.800 --> 01:25:13.800]  Inne godziny.
[01:25:13.800 --> 01:25:15.800]  Osiem godzin.
[01:25:15.800 --> 01:25:17.800]  Mhm.
[01:25:17.800 --> 01:25:19.800]  Jedną godzinę.
[01:25:19.800 --> 01:25:21.800]  Godzinę.
[01:25:21.800 --> 01:25:23.800]  Godzinę.
[01:25:23.800 --> 01:25:25.800]  Tak.
[01:25:25.800 --> 01:25:27.800]  Godzinę.
[01:25:27.800 --> 01:25:29.800]  Jedną godziną.
[01:25:29.800 --> 01:25:31.800]  Osiem.
[01:25:31.800 --> 01:25:33.800]  Czyli ile?
[01:25:33.800 --> 01:25:35.800]  Osiem czego?
[01:25:35.800 --> 01:25:37.800]  Godzin.
[01:25:37.800 --> 01:25:39.800]  Godzin. Dokładnie.
[01:25:39.800 --> 01:25:41.800]  O, godzin.
[01:25:41.800 --> 01:25:43.800]  Osiem godzin.
[01:25:43.800 --> 01:25:45.800]  Dobra.
[01:25:45.800 --> 01:25:47.800]  Okej.
[01:25:47.800 --> 01:25:49.800]  A jak długo Pan jechał na zajęcia dzisiaj?
[01:25:49.800 --> 01:25:51.800]  Albo szedł?
[01:25:51.800 --> 01:25:53.800]  Jak długo Pan jechał na zajęcia dzisiaj rano?
[01:25:53.800 --> 01:25:55.800]  Albo szedł?
[01:25:55.800 --> 01:25:57.800]  Albo szedł?
[01:25:57.800 --> 01:25:59.800]  Albo szedł?
[01:25:59.800 --> 01:26:01.800]  Albo szedł?
[01:26:01.800 --> 01:26:03.800]  Jak długo Pan...
[01:26:03.800 --> 01:26:05.800]  Jak długo?
[01:26:05.800 --> 01:26:07.800]  Jak długo?
[01:26:07.800 --> 01:26:09.800]  Jak długo Pan...
[01:26:09.800 --> 01:26:11.800]  Jak długo Pan...
[01:26:11.800 --> 01:26:13.800]  Czy Pan jechał?
[01:26:13.800 --> 01:26:15.800]  Czy pan jechał?
[01:26:15.800 --> 01:26:17.800]  Czy?
[01:26:17.800 --> 01:26:19.800]  Ok.
[01:26:19.800 --> 01:26:21.800]  30 minut.
[01:26:21.800 --> 01:26:23.800]  30 minut. Ok.
[01:26:23.800 --> 01:26:25.800]  A jechał Pan autobusem, tramwajem?
[01:26:25.800 --> 01:26:27.800]  Autobusem.
[01:26:27.800 --> 01:26:29.800]  I tramwajem.
[01:26:29.800 --> 01:26:31.800]  Czyli 30 minut, a to jest inaczej?
[01:26:31.800 --> 01:26:33.800]  I tramwajem.
[01:26:33.800 --> 01:26:35.800]  I tramwajem.
[01:26:35.800 --> 01:26:37.800]  Pół godziny.
[01:26:37.800 --> 01:26:39.800]  Pół godziny. Super.
[01:26:39.800 --> 01:26:41.800]  Dobra.
[01:26:41.800 --> 01:26:43.800]  A jak długo Pani dzisiaj spała?
[01:26:43.800 --> 01:26:45.800]  Spała.
[01:26:45.800 --> 01:26:47.800]  Spała.
[01:26:47.800 --> 01:26:49.800]  Pała.
[01:26:49.800 --> 01:26:51.800]  Pała.
[01:26:51.800 --> 01:26:53.800]  Pała.
[01:26:53.800 --> 01:26:55.800]  Pała.
[01:26:55.800 --> 01:26:57.800]  Pała.
[01:26:57.800 --> 01:26:59.800]  Pała.
[01:26:59.800 --> 01:27:01.800]  Pięć?
[01:27:01.800 --> 01:27:03.800]  Pięć czego?
[01:27:03.800 --> 01:27:05.800]  Pięć...
[01:27:05.800 --> 01:27:07.800]  Ołudzim.
[01:27:07.800 --> 01:27:09.800]  Ołudzim?
[01:27:09.800 --> 01:27:11.800]  Pięć godzin.
[01:27:11.800 --> 01:27:13.800]  Pięć godzin.
[01:27:13.800 --> 01:27:15.800]  Dobra.
[01:27:15.800 --> 01:27:17.800]  A jakbyśmy chcieli powiedzieć
[01:27:17.800 --> 01:27:19.800]  że ktoś na przykład spał jeszcze krócej
[01:27:19.800 --> 01:27:21.800]  to spał 3?
[01:27:21.800 --> 01:27:23.800]  Godziny.
[01:27:23.800 --> 01:27:25.800]  Godziny.
[01:27:25.800 --> 01:27:27.800]  Godziny.
[01:27:27.800 --> 01:27:32.800]  Godziny. Ok. A jak długo Pan wczoraj pracował?
[01:27:39.800 --> 01:27:42.800]  Dziewięć godzin.
[01:27:44.800 --> 01:27:45.800]  Godzin.
[01:27:45.800 --> 01:27:46.800]  Dziewięć?
[01:27:48.800 --> 01:27:49.800]  Dziewięć?
[01:27:49.800 --> 01:27:51.800]  Osiem, dziewięć, dziesięć.
[01:27:51.800 --> 01:27:52.800]  Dziewięć.
[01:27:52.800 --> 01:27:54.800]  Dziesięć godzin.
[01:27:54.800 --> 01:27:55.800]  Godzin.
[01:27:57.800 --> 01:28:00.800]  Dobra. A ile trwają nasze zajęcia?
[01:28:02.800 --> 01:28:04.800]  Nasze zajęcia trwają?
[01:28:06.800 --> 01:28:07.800]  Półtorej.
[01:28:07.800 --> 01:28:08.800]  Półtorej godziny.
[01:28:08.800 --> 01:28:09.800]  Półtorej godziny.
[01:28:11.800 --> 01:28:13.800]  Półtorej godziny.
[01:28:17.800 --> 01:28:21.800]  No dobrze. Czy mamy jakieś pytania?
[01:28:24.800 --> 01:28:26.800]  Any questions?
[01:28:27.800 --> 01:28:32.800]  No to tak. Uwaga.
[01:28:32.800 --> 01:28:36.800]  Na zadanie domowe.
[01:28:36.800 --> 01:28:47.800]  Nadlewne. Ok. Zrobiliśmy pierwsze i sprawialiśmy to dzisiaj. Ostatnie były drugie, trzecie i czwarte. No to robimy do końca.
[01:28:47.800 --> 01:28:56.800]  Czyli pięć, sześć, siedem, osiem.
[01:28:56.800 --> 01:28:58.800]  Dziękuję.
[01:28:58.800 --> 01:28:59.800]  Dzięki.
[01:28:59.800 --> 01:29:07.800]  Ok. Uwaga. Ja wyślę...
[01:29:07.800 --> 01:29:09.800]  My mieliśmy siedem.
[01:29:09.800 --> 01:29:12.800]  My tylko robiliśmy dwa, trzy i czwarte.
[01:29:12.800 --> 01:29:14.800]  I jeden.
[01:29:14.800 --> 01:29:16.800]  Pięć? Było pięć?
[01:29:16.800 --> 01:29:17.800]  Nie, nie robiliśmy pięć.
[01:29:17.800 --> 01:29:18.800]  Nie.
[01:29:18.800 --> 01:29:19.800]  Ok.
[01:29:19.800 --> 01:29:20.800]  O, zrobiłeś pięć.
[01:29:20.800 --> 01:29:22.800]  Więc nie mamy.
[01:29:22.800 --> 01:29:23.800]  I uwaga.
[01:29:23.800 --> 01:29:25.800]  Ja wyślę odpowiedzi do wszystkich pytań.
[01:29:25.800 --> 01:29:29.800]  Na Languagionie.
[01:29:29.800 --> 01:29:31.800]  I wyślę odpowiedzi do wszystkich pytań.
[01:29:31.800 --> 01:29:34.800]  Wszystkich z tych części ćwiczeń.
[01:29:34.800 --> 01:29:35.800]  Ok?
[01:29:35.800 --> 01:29:36.800]  Więc...
[01:29:36.800 --> 01:29:38.800]  Zrobiliśmy pierwsze już.
[01:29:38.800 --> 01:29:40.800]  Może wszystko.
[01:29:40.800 --> 01:29:42.800]  Dobrze.
[01:29:42.800 --> 01:29:44.800]  I...
[01:29:44.800 --> 01:29:46.800]  To tyle.
[01:29:46.800 --> 01:29:48.800]  To wszystko.
[01:29:48.800 --> 01:29:49.800]  Ok.
[01:29:49.800 --> 01:29:50.800]  To wszystko.
[01:29:50.800 --> 01:29:51.800]  I uwaga.
[01:29:51.800 --> 01:29:54.800]  We wtorek są zajęcia z kimś innym.
[01:29:55.800 --> 01:29:56.800]  Ok.
[01:29:56.800 --> 01:29:57.800]  Więc...
[01:29:57.800 --> 01:30:01.800]  Od wczoraj będzie zajęcia z kimś innym.
[01:30:01.800 --> 01:30:02.800]  O!
[01:30:02.800 --> 01:30:03.800]  Więc to będzie nasz ostatni zajęcie.
[01:30:03.800 --> 01:30:05.800]  Dziękuję za współpracę.
[01:30:05.800 --> 01:30:08.800]  To wszystko.
[01:30:08.800 --> 01:30:12.800]  Mam nadzieję, że następny zajęciu będzie bardziej...
[01:30:12.800 --> 01:30:14.800]  Powiedziałbyś...
[01:30:14.800 --> 01:30:17.800]  O, chodź.
[01:30:17.800 --> 01:30:18.800]  Chodź.
[01:30:18.800 --> 01:30:19.800]  Nie.
[01:30:19.800 --> 01:30:20.800]  Nie.
[01:30:20.800 --> 01:30:21.800]  Nie.
[01:30:21.800 --> 01:30:22.800]  Nie.
[01:30:22.800 --> 01:30:23.800]  Nie.
[01:30:23.800 --> 01:30:24.800]  Nie.
[01:30:25.800 --> 01:30:27.800]  Pr知道.
[01:30:27.800 --> 01:30:28.800]  Nie, nie, nie.
[01:30:28.800 --> 01:30:29.800]  Wszystkie Ci życzę.
[01:30:29.800 --> 01:30:30.800]  Dziękuję na to.
[01:30:30.800 --> 01:30:31.800]  Dziękuję i...
[01:30:31.800 --> 01:30:37.920]  Dobrą i nową, a nie estjourd ow —
[01:30:37.920 --> 01:30:44.920]  Gener escaloni, porter ortado.
[01:30:45.800 --> 01:30:51.800]  Można się to powsmieżnie poznać z przyjaciół miperform,
[01:30:51.800 --> 01:30:52.800]  czy...?
[01:30:52.800 --> 01:30:53.800]  Może to lovera krawczania?
[01:30:53.800 --> 01:30:55.800]  Wiem, że to będzie na pewno.
[01:30:55.800 --> 01:30:57.800]  Ale...
[01:30:57.800 --> 01:30:59.800]  Ale idę na zewnątrz.
[01:30:59.800 --> 01:31:01.800]  W końcu.
[01:31:01.800 --> 01:31:03.800]  W końcu.
[01:31:03.800 --> 01:31:05.800]  Dziękuję i do widzenia.
[01:31:05.800 --> 01:31:07.800]  Dziękuję bardzo.
[01:31:23.800 --> 01:31:25.800]  Napisy by Jacek Makarewicz

Success! Transcription saved to: Lectures/Polish/A1_2/L22_10thSept/L22_10thSept.txt

Process finished with exit code 0
